x;y;z;rho_b
49;44;39;0.308147
50;44;39;0.304157
51;44;39;0.284324
52;44;39;0.248275
53;44;39;0.196665
54;44;39;0.13626
55;44;39;0.0786367
56;44;39;0.037078
57;44;39;0.0143354
41;45;39;0.0161483
42;45;39;0.0440982
43;45;39;0.0963859
44;45;39;0.167973
45;45;39;0.240739
46;45;39;0.300253
47;45;39;0.341625
48;45;39;0.36585
49;45;39;0.37568
50;45;39;0.372274
51;45;39;0.355377
52;45;39;0.322526
53;45;39;0.271957
54;45;39;0.204047
55;45;39;0.129762
56;45;39;0.0663286
57;45;39;0.0269843
58;45;39;0.00894988
40;46;39;0.00823274
41;46;39;0.0266785
42;46;39;0.0694134
43;46;39;0.140707
44;46;39;0.224925
45;46;39;0.300253
46;46;39;0.355735
47;46;39;0.391224
48;46;39;0.411305
49;46;39;0.419183
50;46;39;0.416499
51;46;39;0.402597
52;46;39;0.375375
53;46;39;0.329737
54;46;39;0.26374
55;46;39;0.181416
56;46;39;0.100964
57;46;39;0.0437299
58;46;39;0.0148952
40;47;39;0.012005
41;47;39;0.0381766
42;47;39;0.0946152
43;47;39;0.179269
44;47;39;0.268863
45;47;39;0.341625
46;47;39;0.391224
47;47;39;0.421765
48;47;39;0.438274
49;47;39;0.444579
50;47;39;0.442465
51;47;39;0.43127
52;47;39;0.408002
53;47;39;0.368561
54;47;39;0.307053
55;47;39;0.223783
56;47;39;0.133329
57;47;39;0.061273
58;47;39;0.0216149
59;47;39;0.00611106
40;48;39;0.0152683
41;48;39;0.0476349
42;48;39;0.113765
43;48;39;0.205722
44;48;39;0.296567
45;48;39;0.36585
46;48;39;0.411305
47;48;39;0.438274
48;48;39;0.452513
49;48;39;0.457857
50;48;39;0.45605
51;48;39;0.446498
52;48;39;0.426307
53;48;39;0.390648
54;48;39;0.333399
55;48;39;0.251752
56;48;39;0.156657
57;48;39;0.0752069
58;48;39;0.027308
59;48;39;0.00777809
40;49;39;0.016909
41;49;39;0.0522529
42;49;39;0.122526
43;49;39;0.217425
44;49;39;0.308147
45;49;39;0.37568
46;49;39;0.419183
47;49;39;0.444579
48;49;39;0.457857
49;49;39;0.462939
50;49;39;0.461217
51;49;39;0.452229
52;49;39;0.433408
53;49;39;0.399441
54;49;39;0.344159
55;49;39;0.263605
56;49;39;0.167279
57;49;39;0.0818724
58;49;39;0.0301336
59;49;39;0.0086216
40;50;39;0.0163217
41;50;39;0.0506123
42;50;39;0.119443
43;50;39;0.213365
44;50;39;0.304157
45;50;39;0.372274
46;50;39;0.416499
47;50;39;0.442465
48;50;39;0.45605
49;50;39;0.461217
50;50;39;0.459475
51;50;39;0.450297
52;50;39;0.430978
53;50;39;0.39645
54;50;39;0.340494
55;50;39;0.259482
56;50;39;0.163571
57;50;39;0.0795114
58;50;39;0.0291241
59;50;39;0.00831908
40;51;39;0.0137265
41;51;39;0.043214
42;51;39;0.105015
43;51;39;0.19382
44;51;39;0.284324
45;51;39;0.355377
46;51;39;0.402597
47;51;39;0.43127
48;51;39;0.446498
49;51;39;0.452229
50;51;39;0.450297
51;51;39;0.440019
52;51;39;0.41854
53;51;39;0.381078
54;51;39;0.321873
55;51;39;0.239394
56;51;39;0.146044
57;51;39;0.0687553
58;51;39;0.0246303
59;51;39;0.00698847
40;52;39;0.0100547
41;52;39;0.0323145
42;52;39;0.0820429
43;52;39;0.160627
44;52;39;0.248275
45;52;39;0.322526
46;52;39;0.375375
47;52;39;0.408002
48;52;39;0.426307
49;52;39;0.433408
50;52;39;0.430978
51;52;39;0.41854
52;52;39;0.393226
53;52;39;0.350919
54;52;39;0.286941
55;52;39;0.203501
56;52;39;0.117496
57;52;39;0.052421
58;52;39;0.0181602
59;52;39;0.00512103
40;53;39;0.00643332
41;53;39;0.0209767
42;53;39;0.0560208
43;53;39;0.118082
44;53;39;0.196665
45;53;39;0.271957
46;53;39;0.329737
47;53;39;0.368561
48;53;39;0.390648
49;53;39;0.399441
50;53;39;0.39645
51;53;39;0.381078
52;53;39;0.350919
53;53;39;0.302401
54;53;39;0.234781
55;53;39;0.155573
56;53;39;0.0829112
57;53;39;0.0347714
58;53;39;0.0116575
41;54;39;0.0118141
42;54;39;0.0328454
43;54;39;0.0745116
44;54;39;0.13626
45;54;39;0.204047
46;54;39;0.26374
47;54;39;0.307053
48;54;39;0.333399
49;54;39;0.344159
50;54;39;0.340494
51;54;39;0.321873
52;54;39;0.286941
53;54;39;0.234781
54;54;39;0.169551
55;54;39;0.102524
56;54;39;0.0502494
57;54;39;0.0198506
58;54;39;0.00653837
41;55;39;0.0058126
42;55;39;0.0164248
43;55;39;0.0395218
44;55;39;0.0786367
45;55;39;0.129762
46;55;39;0.181416
47;55;39;0.223783
48;55;39;0.251752
49;55;39;0.263605
50;55;39;0.259482
51;55;39;0.239394
52;55;39;0.203501
53;55;39;0.155573
54;55;39;0.102524
55;55;39;0.0565796
56;55;39;0.0257142
57;55;39;0.00980186
42;56;39;0.00710041
43;56;39;0.0175092
44;56;39;0.037078
45;56;39;0.0663286
46;56;39;0.100964
47;56;39;0.133329
48;56;39;0.156657
49;56;39;0.167279
50;56;39;0.163571
51;56;39;0.146044
52;56;39;0.117496
53;56;39;0.0829112
54;56;39;0.0502494
55;56;39;0.0257142
56;56;39;0.0112007
43;57;39;0.00662558
44;57;39;0.0143354
45;57;39;0.0269843
46;57;39;0.0437299
47;57;39;0.061273
48;57;39;0.0752069
49;57;39;0.0818724
50;57;39;0.0795114
51;57;39;0.0687553
52;57;39;0.052421
53;57;39;0.0347714
54;57;39;0.0198506
55;57;39;0.00980186
45;58;39;0.00894988
46;58;39;0.0148952
47;58;39;0.0216149
48;58;39;0.027308
49;58;39;0.0301336
50;58;39;0.0291241
51;58;39;0.0246303
52;58;39;0.0181602
53;58;39;0.0116575
54;58;39;0.00653837
47;59;39;0.00611106
48;59;39;0.00777809
49;59;39;0.0086216
50;59;39;0.00831908
51;59;39;0.00698847
52;59;39;0.00512103
46;39;40;0.00823274
47;39;40;0.012005
48;39;40;0.0152683
49;39;40;0.016909
50;39;40;0.0163217
51;39;40;0.0137265
52;39;40;0.0100547
53;39;40;0.00643332
44;40;40;0.00979094
45;40;40;0.0185388
46;40;40;0.0305172
47;40;40;0.0434202
48;40;40;0.0539931
49;40;40;0.0590778
50;40;40;0.0572694
51;40;40;0.0490691
52;40;40;0.0368526
53;40;40;0.0240473
54;40;40;0.0135699
55;40;40;0.0066841
42;41;40;0.00594204
43;41;40;0.0146241
44;41;40;0.0311756
45;41;40;0.0564466
46;41;40;0.0870447
47;41;40;0.116606
48;41;40;0.138255
49;41;40;0.148122
50;41;40;0.144664
51;41;40;0.128394
52;41;40;0.102003
53;41;40;0.0709855
54;41;40;0.0424406
55;41;40;0.0215148
56;41;40;0.00934937
41;42;40;0.00594204
42;42;40;0.0166865
43;42;40;0.0400085
44;42;40;0.0793728
45;42;40;0.130729
46;42;40;0.182751
47;42;40;0.225016
48;42;40;0.252902
49;42;40;0.264929
50;42;40;0.260767
51;42;40;0.240464
52;42;40;0.20488
53;42;40;0.15665
54;42;40;0.1034
55;42;40;0.0571307
56;42;40;0.0260601
57;42;40;0.0099779
41;43;40;0.0146241
42;43;40;0.0400085
43;43;40;0.0884566
44;43;40;0.156954
45;43;40;0.228499
46;43;40;0.288288
47;43;40;0.33064
48;43;40;0.355738
49;43;40;0.365843
50;43;40;0.362364
51;43;40;0.34484
52;43;40;0.311075
53;43;40;0.259457
54;43;40;0.192488
55;43;40;0.120013
56;43;40;0.0604458
57;43;40;0.0244011
58;43;40;0.00814075
40;44;40;0.00979094
41;44;40;0.0311756
42;44;40;0.0793728
43;44;40;0.156954
44;44;40;0.244294
45;44;40;0.318997
46;44;40;0.372513
47;44;40;0.406017
48;44;40;0.42446
49;44;40;0.431707
50;44;40;0.429234
51;44;40;0.41657
52;44;40;0.390884
53;44;40;0.34778
54;44;40;0.282743
55;44;40;0.199817
56;44;40;0.114067
57;44;40;0.0506009
58;44;40;0.0175624
59;44;40;0.00504652
40;45;40;0.0185388
41;45;40;0.0564466
42;45;40;0.130729
43;45;40;0.228499
44;45;40;0.318997
45;45;40;0.385335
46;45;40;0.426799
47;45;40;0.450764
48;45;40;0.463179
49;45;40;0.467812
50;45;40;0.466246
51;45;40;0.457905
52;45;40;0.440348
53;45;40;0.407888
54;45;40;0.354594
55;45;40;0.274768
56;45;40;0.177255
57;45;40;0.0878833
58;45;40;0.032847
59;45;40;0.00958672
39;46;40;0.00823274
40;46;40;0.0305172
41;46;40;0.0870447
42;46;40;0.182751
43;46;40;0.288288
44;46;40;0.372513
45;46;40;0.426799
46;46;40;0.458135
47;46;40;0.474855
48;46;40;0.482931
49;46;40;0.485847
50;46;40;0.484871
51;46;40;0.479597
52;46;40;0.46755
53;46;40;0.444456
54;46;40;0.402242
55;46;40;0.332931
56;46;40;0.235006
57;46;40;0.129779
58;46;40;0.0526413
59;46;40;0.0159464
39;47;40;0.012005
40;47;40;0.0434202
41;47;40;0.116606
42;47;40;0.225016
43;47;40;0.33064
44;47;40;0.406017
45;47;40;0.450764
46;47;40;0.474855
47;47;40;0.486848
48;47;40;0.492546
49;47;40;0.494569
50;47;40;0.493887
51;47;40;0.490193
52;47;40;0.481768
53;47;40;0.464398
54;47;40;0.431044
55;47;40;0.371463
56;47;40;0.279047
57;47;40;0.166861
58;47;40;0.0730052
59;47;40;0.0231099
60;47;40;0.00566698
39;48;40;0.0152683
40;48;40;0.0539931
41;48;40;0.138255
42;48;40;0.252902
43;48;40;0.355738
44;48;40;0.42446
45;48;40;0.463179
46;48;40;0.482931
47;48;40;0.492546
48;48;40;0.496892
49;48;40;0.498419
50;48;40;0.497912
51;48;40;0.495119
52;48;40;0.488479
53;48;40;0.4745
