time;PosX;PosY;v_x;v_y;Re;alpha;a
1720;299.488;70.8463;-362562e-9;0.0397704;89.5496;-0.02091987875404111;18.233080719625313
1730;299.483;71.244;-376647e-9;0.0398518;89.7329;-0.021019657335498747;18.263590490061972
1740;299.48;71.6428;-368747e-9;0.0399377;89.9264;-0.02122841289612705;18.2931056929539
1750;299.476;72.044;-382118e-9;0.0400362;90.1482;-0.02097009566485661;18.32480614561345
1760;299.472;72.4436;-380866e-9;0.0401135;90.3222;-0.021255470866783144;18.353778486786226
1770;299.468;72.8461;-385639e-9;0.0402021;90.5217;-0.02095377747003266;18.384864128547363
1780;299.464;73.2481;-396145e-9;0.0402816;90.7008;-0.021060091165008003;18.413645508004542
1790;299.46;73.6506;-394007e-9;0.0403476;90.8494;-0.02132164235324943;18.44737543360397
1800;299.456;74.0559;-403349e-9;0.0404418;91.0613;-0.021010936230920756;18.476018418932526
1810;299.452;74.46;-40306e-8;0.0405142;91.2245;-0.02113256250911554;18.50604770429065
1820;299.448;74.8672;-407504e-9;0.0406057;91.4306;-0.020844135831153493;18.53818316061372
1830;299.445;75.2728;-403297e-9;0.0406738;91.5838;-0.021097499287335952;18.5670068233359
1840;299.439;75.6796;-420629e-9;0.0407418;91.7369;-0.02104871838471393;18.59831589869843
1850;299.436;76.0882;-416963e-9;0.040826;91.9266;-0.02091852103306627;18.626821361752143
1860;299.432;76.4971;-425663e-9;0.0409031;92.1002;-0.020932154519137054;18.65711208981907
1870;299.427;76.9065;-432079e-9;0.0409657;92.241;-0.02074845582188393;18.68919435158565
1880;299.424;77.3164;-426974e-9;0.0410418;92.4125;-0.020738614188396703;18.716217976751818
1890;299.419;77.7275;-43769e-8;0.0411072;92.5597;-0.020621552994189055;18.749129221352188
1900;299.415;78.139;-444566e-9;0.0411811;92.726;-0.020514358532951964;18.776272250553742
1910;299.409;78.5516;-46047e-8;0.0412519;92.8856;-0.020631513594465193;18.80636158178028
1920;299.405;78.9644;-470009e-9;0.0413176;93.0333;-0.020343898659820878;18.836562112785224
1930;299.401;79.3786;-467011e-9;0.0413941;93.2057;-0.02028214167056866;18.865624423845347
1940;299.396;79.7926;-474707e-9;0.0414525;93.3372;-0.02030022090820463;18.896826084206275
1950;299.393;80.2078;-464575e-9;0.0415343;93.5213;-0.020294061206172855;18.92280045972633
1960;299.386;80.6247;-488792e-9;0.0416103;93.6924;-0.019982534240429617;18.955275742833898
1970;299.382;81.0395;-491566e-9;0.0416611;93.807;-0.019892440775755513;18.982530465317037
1980;299.377;81.4579;-500036e-9;0.0417444;93.9944;-0.01990094825968994;19.010689759041334
1990;299.372;81.8748;-505311e-9;0.0417948;94.108;-0.019889757484507095;19.040877115785797
2000;299.367;82.2938;-507602e-9;0.0418711;94.2798;-0.01967821295605285;19.06763364925866
2010;299.362;82.7135;-51373e-8;0.041939;94.4326;-0.019625033223921673;19.095965805435082
2020;299.356;83.1319;-527931e-9;0.0419826;94.5309;-0.01949825955101921;19.124422721158254
2030;299.351;83.5543;-531792e-9;0.04207;94.7275;-0.019406150440118945;19.15260870509232
2040;299.346;83.9739;-536885e-9;0.0421158;94.8308;-0.019392516347739436;19.180004594093894
2050;299.34;84.3965;-545952e-9;0.0421884;94.9942;-0.0191453874933366;19.20703597215853
2060;299.334;84.818;-557991e-9;0.0422433;95.1177;-0.019150712885067846;19.233115434479124
2070;299.329;85.2411;-567291e-9;0.0422969;95.2384;-0.0189004457217537;19.264025096814553
2080;299.322;85.6647;-583709e-9;0.0423639;95.3893;-0.01883871183430589;19.287415681383226
2090;299.317;86.0883;-58579e-8;0.0424142;95.5027;-0.018670090343062315;19.315613821147444
2100;299.311;86.5142;-596907e-9;0.0424878;95.6683;-0.01842521555404877;19.34184188089845
2110;299.305;86.9387;-601686e-9;0.0425402;95.7864;-0.01853445583558168;19.366857962834224
2120;299.299;87.3648;-604769e-9;0.0425947;95.9091;-0.018377576676772263;19.39431020718161
2130;299.292;87.7911;-623248e-9;0.0426615;96.0594;-0.018268379643076853;19.416787250559025
