time;PosX;PosY;v_x;v_y;Re
3050;298.595;129.116;-0.000692053;0.046603;104.934
3060;298.587;129.583;-0.000689233;0.046633;105.002
3070;298.58;130.049;-0.000684912;0.0466523;105.045
3080;298.573;130.517;-0.0006878;0.0466795;105.107
3090;298.566;130.983;-0.000683255;0.0467115;105.179
3100;298.559;131.45;-0.000678879;0.0467205;105.199
3110;298.552;131.918;-0.000687127;0.0467544;105.275
3120;298.547;132.385;-0.000668683;0.0467639;105.297
3130;298.538;132.855;-0.000680188;0.0468075;105.395
3140;298.533;133.322;-0.000666325;0.0468181;105.419
3150;298.525;133.792;-0.000672797;0.0468559;105.504
3160;298.519;134.26;-0.000665151;0.0468769;105.551
3170;298.511;134.73;-0.000671032;0.0469085;105.622
3180;298.506;135.199;-0.000658469;0.0469337;105.679
3190;298.499;135.669;-0.000662626;0.0469506;105.717
3200;298.493;136.139;-0.000652837;0.0469771;105.777
3210;298.485;136.61;-0.000657444;0.0470086;105.848
3220;298.479;137.08;-0.00065294;0.047028;105.891
3230;298.472;137.551;-0.000652589;0.0470488;105.938
3240;298.466;138.021;-0.000648882;0.0470742;105.995
3250;298.459;138.493;-0.000647751;0.0471019;106.058
3260;298.453;138.964;-0.000643573;0.0471291;106.119
3270;298.447;139.436;-0.000641933;0.0471474;106.16
3280;298.44;139.908;-0.000640512;0.0471812;106.236
3290;298.434;140.38;-0.000635609;0.0471917;106.26
3300;298.428;140.853;-0.000624698;0.0472326;106.352
3310;298.422;141.325;-0.000628199;0.0472419;106.373
3320;298.415;141.798;-0.000621299;0.047279;106.456
3330;298.409;142.272;-0.000618176;0.0472962;106.495
3340;298.403;142.744;-0.00061793;0.0473245;106.559
3350;298.397;143.218;-0.000615421;0.0473423;106.599
3360;298.391;143.692;-0.000614247;0.0473632;106.646
3370;298.384;144.167;-0.000609636;0.0474024;106.734
3380;298.378;144.64;-0.000611203;0.0474005;106.73
3390;298.373;145.116;-0.000602931;0.0474482;106.837
3400;298.366;145.59;-0.000607607;0.0474575;106.858
3410;298.36;146.065;-0.000601171;0.0474942;106.941
3420;298.354;146.541;-0.00060147;0.0475161;106.99
3430;298.349;147.016;-0.000591583;0.0475381;107.04
3440;298.342;147.493;-0.00059725;0.0475704;107.113
3450;298.336;147.969;-0.000587377;0.0475957;107.17
3460;298.33;148.446;-0.000594112;0.0476192;107.223
3470;298.324;148.921;-0.000584697;0.047643;107.276
3480;298.318;149.399;-0.000589605;0.0476739;107.346
3490;298.313;149.876;-0.000578857;0.0476978;107.4
3500;298.307;150.354;-0.000579832;0.0477269;107.465
3510;298.301;150.831;-0.000573114;0.0477519;107.521
3520;298.296;151.309;-0.000572402;0.0477725;107.568
3530;298.29;151.787;-0.000571199;0.0478063;107.644
3540;298.284;152.266;-0.000566639;0.0478256;107.687
3550;298.278;152.743;-0.000573656;0.0478407;107.721
3560;298.273;153.223;-0.00056417;0.0478714;107.79
3570;298.267;153.701;-0.000564291;0.0478887;107.829
3580;298.261;154.182;-0.000560842;0.047927;107.916
3590;298.255;154.66;-0.000562836;0.0479428;107.951
3600;298.25;155.141;-0.000557145;0.0479828;108.041
3610;298.244;155.621;-0.000554463;0.0480013;108.083
3620;298.239;156.102;-0.000546589;0.0480274;108.142
3630;298.233;156.582;-0.000543898;0.0480535;108.2
3640;298.228;157.064;-0.00053256;0.0480874;108.277
3650;298.222;157.545;-0.000540229;0.0481032;108.312
3660;298.217;158.026;-0.000536321;0.0481311;108.375
3670;298.211;158.508;-0.00053923;0.0481524;108.423
3680;298.206;158.99;-0.000533869;0.048182;108.49
3690;298.2;159.473;-0.000541103;0.0482092;108.551
3700;298.195;159.955;-0.000537221;0.0482295;108.597
3710;298.189;160.438;-0.000540353;0.0482643;108.675
3720;298.184;160.921;-0.00053042;0.0482831;108.718
3730;298.179;161.405;-0.000529151;0.0483212;108.803
3740;298.174;161.887;-0.000518037;0.0483336;108.831
3750;298.168;162.373;-0.000517193;0.0483781;108.931
3760;298.164;162.855;-0.000505733;0.0483795;108.935
3770;298.158;163.341;-0.000503967;0.0484261;109.039
3780;298.153;163.824;-0.000500265;0.0484362;109.062
3790;298.148;164.311;-0.000497405;0.0484796;109.16
3800;298.143;164.795;-0.000490128;0.048501;109.208
3810;298.138;165.282;-0.000488197;0.048536;109.287
3820;298.134;165.767;-0.000480194;0.0485646;109.351
3830;298.129;166.254;-0.000479237;0.0485955;109.421
3840;298.124;166.74;-0.000471766;0.0486285;109.495
3850;298.119;167.227;-0.00047129;0.0486466;109.536
3860;298.114;167.714;-0.000470828;0.0486775;109.606
3870;298.11;168.201;-0.000468495;0.0486988;109.653
3880;298.105;168.688;-0.000469749;0.0487311;109.726
3890;298.1;169.176;-0.000464037;0.0487429;109.753
3900;298.096;169.664;-0.000459198;0.0487763;109.828
3910;298.091;170.152;-0.000458099;0.0487945;109.869
3920;298.086;170.64;-0.00044981;0.0488222;109.931
3930;298.082;171.129;-0.000441901;0.0488433;109.979
3940;298.077;171.618;-0.000438204;0.0488763;110.053
3950;298.074;172.107;-0.000428077;0.0488984;110.103
3960;298.069;172.597;-0.00042556;0.0489355;110.186
3970;298.065;173.086;-0.000416328;0.0489486;110.216
3980;298.06;173.577;-0.000421371;0.048981;110.289
3990;298.057;174.067;-0.000404248;0.049007;110.347
4000;298.052;174.557;-0.000406398;0.0490233;110.384
4010;298.049;175.048;-0.000395548;0.0490558;110.457
4020;298.044;175.539;-0.000392559;0.0490778;110.507
4030;298.041;176.031;-0.000384558;0.0491104;110.58
4040;298.036;176.522;-0.000379675;0.0491326;110.63
4050;298.033;177.014;-0.00037745;0.0491525;110.675
4060;298.029;177.506;-0.000368389;0.0491805;110.738
4070;298.026;177.998;-0.000363732;0.0492056;110.795
4080;298.022;178.491;-0.000355757;0.0492309;110.851
4090;298.019;178.983;-0.000350928;0.0492447;110.883
4100;298.015;179.478;-0.000341743;0.0492828;110.968
4110;298.012;179.97;-0.0003371;0.0492939;110.993
4120;298.008;180.465;-0.000328421;0.04933;111.075
4130;298.005;180.957;-0.000322787;0.0493445;111.107
4140;298.002;181.453;-0.000313685;0.049379;111.185
4150;297.999;181.946;-0.000311341;0.0493878;111.205
4160;297.996;182.441;-0.000300865;0.0494254;111.29
4170;297.993;182.935;-0.000297066;0.0494319;111.304
4180;297.991;183.431;-0.000283371;0.0494673;111.384
4190;297.987;183.925;-0.000280225;0.0494779;111.408
4200;297.985;184.422;-0.000267895;0.0495143;111.49
4210;297.982;184.916;-0.000264747;0.0495247;111.513
4220;297.98;185.413;-0.000254208;0.0495563;111.584
4230;297.977;185.908;-0.000247422;0.0495678;111.61
4240;297.975;186.406;-0.000236905;0.0495982;111.679
4250;297.973;186.901;-0.000231574;0.0496125;111.711
4260;297.971;187.399;-0.000222334;0.0496385;111.769
4270;297.968;187.895;-0.000216237;0.049656;111.809
4280;297.966;188.393;-0.000207129;0.0496813;111.866
4290;297.964;188.889;-0.00020113;0.0496981;111.904
4300;297.962;189.388;-0.000191695;0.0497223;111.958
4310;297.96;189.884;-0.000185303;0.0497389;111.995
4320;297.959;190.383;-0.000175226;0.0497623;112.048
4330;297.957;190.88;-0.000168473;0.0497785;112.084
4340;297.955;191.38;-0.000157975;0.0498011;112.135
4350;297.954;191.877;-0.000149674;0.0498137;112.164
4360;297.952;192.377;-0.000140526;0.0498388;112.22
4370;297.951;192.875;-0.000132473;0.0498514;112.249
4380;297.95;193.375;-0.000123345;0.0498757;112.303
4390;297.948;193.873;-0.000115536;0.049888;112.331
4400;297.947;194.373;-0.000106382;0.0499114;112.384
